Places,Location,Category,Likes_oount
Obong of Calabar Palace,Cross River,Palace,0
Duke Town Cathedral,Cross River,Place of worship,0
The African Club,Cross River,Club,0
Tortuga Island,Cross River,Resort,1
Champs Sports Bar and Grill,Lagos,Lounge,0
Da Chimney,Abuja,Restaurant,0
Signature Nigeria,Abuja,"Spas, Saunas and Wellness centre",0
Woks and Koi,Abuja,Restaurant,0
"Domino's Pizza, Kumasi Crescent",Abuja,Pizzeria,0
"Domino's Pizza, Ajah",Lagos,Pizzeria,0
"Domino's Pizza, Ajao Estate",Lagos,Pizzeria,0
"Domino's Pizza, Apapa",Lagos,Pizzeria,0
"Domino's Pizza, Festac",Lagos,Pizzeria,0
"Domino's Pizza, Bodija",Oyo,Pizzeria,0
"Domino's Pizza, Gbagada",Lagos,Pizzeria,0
"Domino's Pizza, Ring Road",Oyo,Pizzeria,0
"Domino's Pizza, Agidingbi",Lagos,Pizzeria,0
"Domino's Pizza, Ikeja",Lagos,Pizzeria,0
"Domino's Pizza, Ikeja GRA",Lagos,Pizzeria,0
"Domino's Pizza, Ajose Adeogun",Lagos,Pizzeria,0
"Domino's Pizza, Yaba",Lagos,Pizzeria,0
"Domino's Pizza, Magodo",Lagos,Pizzeria,0
"Domino's Pizza, Lekki",Lagos,Pizzeria,0
University of Ilorin Biological Garden,Kwara,Game reserve,0
Just Cakes and Catering Services,Lagos,Restaurant,0
The Bells University of Technology,Ogun,University,0
Unilorin Biological Garden,Kwara,Game reserve,0
Rhema Chapel International Churches (Headquarters),Kwara,Place of worship,0
Bush Flavours Ventures,Lagos,Pizzeria,0
Aguda Hospital and Maternity,Lagos,Hospital,0
Hayes and Ashley Supermarket,Lagos,Shop,0
Nuts About Cakes,Lagos,Restaurant,0
Tito Cakes and Events,Lagos,Restaurant,0
Kwara State Polytechnic,Kwara,College,0
AXA Mansard Head Office,Lagos,Building,0
Rubee Medical Center Ltd,Ogun,Hospital,0
"Justrite Superstores, Ota",Ogun,Shop,0
"Justrite Superstores, Ojokoro",Lagos,Shop,0
"Justrite Supermarket, Ipaja",Lagos,Shop,0
Krisbethel College,Lagos,School,0
Ahmadiya Hospital,Lagos,Hospital,0
Diamond Food Restaurant,Lagos,Restaurant,0
"Chicken Republic, Ojuelegba",Lagos,Restaurant,0
"Chicken Republic, Okota",Lagos,Restaurant,0
YSM Cafeteria,Lagos,Restaurant,0
"Best Bite Restaurant, Old Aba",Rivers,Restaurant,488
Chronicles Restaurant and Karaoke Bar,Kwara,Restaurant,0
Iya Yusuf Restaurant,Kwara,Restaurant,1
Fish and Net Restaurant,Kwara,Restaurant,0
Royals Eatery,Kwara,Restaurant,0
JMK Supermarket,Kwara,Shop,0
Gomola Supermarket,Kwara,Shop,0
Wan Tan Fusion,Lagos,Restaurant,0
New China Restaurant Limited,Lagos,Restaurant,0
"Suya Spot, Ikoyi",Lagos,Restaurant,0
The Community Club Suya Spot,Lagos,Restaurant,0
"MTN, Ikoyi",Lagos,Building,0
Posh Cafe,Lagos,Restaurant,0
"United Nations Children's Fund, Lagos",Lagos,Building,0
"United Nations Children's Fund, Abuja",Abuja,Government Building,0
Deputy High Commission of Canada,Lagos,Government Building,0
"More Grace Supermarket, Lokoja",Kogi,Shop,0
Misi T Restaurant and Bakery,Kogi,Restaurant,0
Fiolu Pharmacy,Kwara,Pharmacy,0
Surenet Cafe,Kwara,Building,0
"Post Office, Ilorin",Kwara,Government Building,0
"Nigerian Postal Service, Umuahia",Abia,Government Building,0
Lady C's Shop for Princes,Abia,Boutique,0
"Post Office, Karu",Abuja,Government Building,0
"NIPOST, Bauchi Post Office",Bauchi,Building,0
"Post Office, Effurun",Delta,Government Building,0
"NIPOST, Benin",Edo,Building,0
"Tantalizers, Ota",Ogun,Restaurant,0
"The Palms Shopping Mall, Ota",Ogun,Mall,2
The African Church Model College,Lagos,School,1
Tipsy Wine Offer,Lagos,Building,0
"Mr. Bigg's, Ogba",Lagos,Restaurant,0
"Health Point Diagnostic Centre, Ifako Ijaiye",Lagos,Hospital,0
"Healthpoint Diagnostic Centre, Ikotun",Lagos,Hospital,0
Meir International College,Lagos,School,0
Hosanna Wisdom Academy,Lagos,School,0
First Apex Secondary School,Lagos,School,0
Ifako International School,Lagos,School,0
Barachel School,Lagos,School,0
"Faith Academy, Gowon Estate",Lagos,School,0
"Faith Academy, Asaba",Delta,School,0
"Faith Academy, Ota",Ogun,School,0
Faith Academy Kubwa,Abuja,School,0
"Mayflower School, Ikenne",Ogun,School,1
Grandpa Cafe,Lagos,Shop,0
Yemfem Enterprises,Lagos,,0
Yemfem Motors,Lagos,Shop,0
National Postgraduate Medical College of Nigeria,Lagos,School,0
BazTech™ Consults,Lagos,Shop,0
Calvary Kingdom Church,Lagos,Place of worship,0
Papitonia,Lagos,Shop,0
"Best Coat Paint, Badagary",Lagos,Shop,0
Sahara Afrique Magazine,Lagos,,0
Mama Nkechi Store,Lagos,Shop,0
Alhaja Bazoon,Lagos,Restaurant,0
Chioma Restaurant,Lagos,Restaurant,0
Deluxe Kitchen,Lagos,Restaurant,0
"Mr. Bigg's, Broad Street",Lagos,Restaurant,0
Madam U. C Quality Kitchen,Lagos,Restaurant,0
Welcome You Canteen,Lagos,Restaurant,0
"Amala Spot, Olojo",Lagos,Restaurant,0
Mayor Incorprated,Lagos,,0
Anniephems Designs,Lagos,Boutique,0
Graceland Medical Centre,Lagos,Hospital,0
Tetrazzini Food,Lagos,Restaurant,0
L'afric Restaurant and Bar,Lagos,Restaurant,0
Thistle Bar and Restaurant,Lagos,Restaurant,0
Holy Family Church Medical Centre,Lagos,Hospital,0
"Sweet Sensation, Yaba",Lagos,Restaurant,0
Kashimbila Game Reserve,Taraba,Game reserve,0
Pill Box Pharmacy,Lagos,Pharmacy,0
Aromokeye Pharmacy,Kwara,Pharmacy,1
"Rotamedics, Ilorin",Kwara,Pharmacy,0
Jekor Pharmacy,Lagos,Pharmacy,0
Vatican Pharmacy,Lagos,Pharmacy,0
"HealthPlus, Adeniran Ogunsanya",Lagos,Pharmacy,0
Bernados Pharmacy,Lagos,Pharmacy,0
"Healthplus Pharmacy, Commercial Avenue",Lagos,Pharmacy,0
Healthcraft Pharmacy,Lagos,Pharmacy,0
Eagle Club,Lagos,,0
"VCN Sports Int'l Ltd, Ojuelegba",Lagos,Shop,0
"VCN Sports Int'l Ltd, Stadium",Lagos,Shop,0
Ojez Entertainment Limited,Lagos,Restaurant,0
"University of Uyo, Town Campus",Akwa Ibom,University,0
"Majesty's Chinese Cuisine, Victoria Island",Lagos,Restaurant,0
"Majesty Island Chinese Restaurant, Lekki",Lagos,Restaurant,0
Princeton Schools,Lagos,School,0
Soundhope Private Academy,Lagos,School,0
DemyKaty Group,Lagos,Laundry,0
Geastar,Lagos,Shop,0
Daffiti Clothing,Lagos,Shop,0
Omolola Beauty Saloon,Lagos,Salon,0
Fizz Herbal Salon,Lagos,Salon,0
Next Barbing Saloon,Lagos,Salon,0
Neat Face Barbing Saloon,Lagos,Salon,0
Food Heavens Ventures,Lagos,Bakery,0
Joeddy Supermarket,Lagos,Shop,0
Mr. Mayas Refreshments,Lagos,,0
Bonjour Le Monde,Lagos,School,0
Arry's Ready to eat,Lagos,Restaurant,0
I Drink,Lagos,,0
Bmn Concepts,Lagos,,0
Nelly Universe,Lagos,,0
Fahove Group Of Schools,Lagos,School,0
Salsid Cafe,Lagos,,0
Sholey Barbing Saloon,Lagos,Salon,0
Dial-A-Cake,Rivers,Bakery,0
"Greensprings School, Anthony Campus",Lagos,School,0
Pere's Color Production,Rivers,Building,370
"Total Health Trust, Port Harcourt",Rivers,Building,758
"Chicken Republic, Abacha Road",Rivers,Restaurant,505
"Chicken Republic, Phase 1",Rivers,Restaurant,775
"Chicken Republic, Amadi",Rivers,Restaurant,970
Pisces Bar,Rivers,Lounge,569
Idu Station,Abuja,Terminal,0
"Mr. Bigg's, Amadi",Rivers,Restaurant,0
Just Relish Eateries,Rivers,Restaurant,0
Kubwa Terminal Station,Abuja,Terminal,1
"Kilimanjaro Restaurant, Woji",Rivers,Restaurant,1178
"Kilimanjaro Restaurant, GRA Junction",Rivers,Restaurant,1038
"Kilimanjaro Restaurant, Trans-amadi",Rivers,Restaurant,986
Princess Medical Centre,Rivers,Hospital,382
"DHL Courier, Trans Amadi",Rivers,Building,0
RTC Courier International,Rivers,Building,312
Sita Pharmacy Limited,Rivers,Pharmacy,0
G.U.O. Transport - Port Harcourt Terminal,Rivers,Terminal,238
G.U.O. Transport(Bus Park) - Iyana-ipaja Terminal,Lagos,Terminal,0
"G.U.O Transport Company (Bus Park), Ikotun",Lagos,Terminal,0
G.U.O. Transport(Bus Park) - Maza-Maza Terminal,Lagos,Terminal,1
GUO Transport (Bus Park) - Okota Terminal,Lagos,Terminal,0
"GUO Transport(Bus Park), Jakande",Lagos,Terminal,0
G.U.O. Transport (Bus Park) Jibowu,Lagos,Terminal,0
G.U.O Transport(Bus Park) - Iddo Terminal,Lagos,Terminal,0
G.U.O Transport (Bus Park) - Corporate Office,Lagos,Terminal,0
GUO Transport Enugu Terminal Bus Stop,Lagos,Terminal,0
"GUO Transport, Umunze Terminal",Anambra,Terminal,0
"GUO Transport, AWKA Terminal",Akwa Ibom,Terminal,0
Destiny Pots Fast foods and Bakery,Akwa Ibom,Restaurant,0
"Living Faith Church, Mgbuoba District",Rivers,Place of worship,383
"Assemblies of God, Upper Room",Rivers,Place of worship,220
The Rest Place,Rivers,Place of worship,134
"Living Faith Church, Port Harcourt",Rivers,Place of worship,297
Deda Hospital,Abuja,Hospital,0
DIFF Hospital,Abuja,Hospital,0
The US Embassy,Abuja,Government Building,0
"King's College, Lagos",Lagos,School,0
Kings Ville College,Abuja,School,0
Jahi Clinic,Abuja,Hospital,0
Embassy of Mexico,Abuja,Government Building,0
Atomic Ventures,Lagos,Restaurant,0
R and G Kitchen,Lagos,Restaurant,0
"Nairabet, Yaba",Lagos,Shop,0
Amaks Exquisite Fabrics and Aso Ebi Planner,Lagos,Shop,0
Exquisite Babies,Lagos,Shop,0
Chinese Embassy,Abuja,Government Building,0
Bridals And More,Lagos,Shop,0
Havilah Brides Limited,Lagos,Shop,0
Bead Emporium,Lagos,Shop,0
The Wedding Store,Lagos,Shop,0
Embassy of the Republic of Poland,Abuja,Government Building,0
Russian Embassy,Abuja,Government Building,0
Embassy of France,Abuja,Government Building,0
Rose Blossom Bridal,Lagos,Shop,0
Babington King Jewellers Limited,Lagos,Shop,0
"Nigerian Turkish International College, Lagos",Lagos,School,18
Doregos Private Academy,Lagos,School,0
Roshallom School,Lagos,School,0
Young Treasures Creche,Lagos,School,0
Benvic Private School,Lagos,School,0
Eduland Children School,Lagos,School,0
Milben Group Of Schools,Lagos,School,0
Pacific Comprehensive College,Lagos,School,0
Guinness Nigeria Plc,Lagos,Factory,0
Laurels Academy,Lagos,School,0
Greenapples School,Lagos,School,0
Nistech College,Lagos,School,0
SilverDale Schools,Lagos,School,0
Grace Schools,Lagos,School,0
Hopeville Specialist Hospital,Rivers,Hospital,374
For Instance Arena Boutique,Rivers,Boutique,0
The Eye Doctors,Lagos,Hospital,0
Kasabella Boutique,Lagos,Boutique,0
Co-Creation Hub Nigeria,Lagos,Building,0
Andela Talent Accelerator,Lagos,Building,0
"Andela, Amity Campus",Lagos,Building,0
"Clear View Optics, Head Office",Lagos,Hospital,0
"Clearview Optics, Yaba",Lagos,Hospital,0
Marien Hospital,Lagos,Hospital,0
"Clearview Optics, Abuja",Lagos,Hospital,0
Shawarma King,Abuja,Restaurant,0
Hadis Pot Restaurant,Abuja,Restaurant,0
Big Bite Chinese Flavour,Lagos,Restaurant,0
"Spectranet, Abuja",Abuja,Shop,0
Nigeria Investment Promotion Commission,Abuja,Government Building,0
"House Forty Three Limited ( Saffron Café, Barcardi Fine Dining and Lounge, Food Portion)",Abuja,Lounge,0
Albasha Palace,Abuja,Restaurant,0
B-Natural Spa,Abuja,"Spas, Saunas and Wellness centre",0
"B-Natural Spa, Lagos",Lagos,"Spas, Saunas and Wellness centre",0
MART Life Detox Clinic,Lagos,"Spas, Saunas and Wellness centre",0
"Park 'n' Shop, Ikeja",Lagos,Shop,0
Odus Marciello Bakery,Lagos,Bakery,0
Fifi's Oven,Lagos,Restaurant,0
Adam and Eve,Lagos,Shop,0
"Adam and Eve, Abuja",Abuja,Shop,0
Kester Couture,Abuja,Boutique,0
"SPAR, Ikeja",Lagos,Shop,0
"SPAR, MMA 2",Lagos,Shop,0
"Spar, Adeola Odeku",Lagos,Shop,0
HSF Wellness Center,Lagos,"Spas, Saunas and Wellness centre",0
Fitness Options,Lagos,"Spas, Saunas and Wellness centre",0
Decent Look Unixsex Salon/Spa,Lagos,Salon,0
Decent Look Unisex Salon/Spa,Lagos,Salon,0
Police College Ikeja,Lagos,College,1
"Air Force Secondary School, Ikeja",Lagos,School,1000
Harbour Point,Lagos,Hall,0
Renaissance Medical Centre,Lagos,Hospital,0
Goodies Supermarket,Lagos,Shop,0
Roadster Burgers 'N' Grills,Lagos,Lounge,0
"SPAR, Garrison",Rivers,Shop,525
Honey Pot Restaurant,Rivers,Restaurant,0
Lekki Tennis Club,Lagos,Club,0
The Eventistry,Lagos,Hall,0
"Northwest University, Kano",Kano,University,2
Gidan Dan Hausa,Kano,Monument,0
Garnish Dream Foods,Rivers,Restaurant,0
A Plus Resources Limited,Rivers,,0
Meals and More,Kano,Restaurant,0
Margaret's Restaurant Nigeria Limited,Rivers,Restaurant,362
"SPAR, Calabar",Cross River,Shop,2
Golden Apple Restaurant and Bar,Cross River,Restaurant,0
Chopsticks,Abuja,Restaurant,0
Zodiac Pub and Resort,Abuja,Lounge,0
Abuja Clinics,Abuja,Hospital,0
Step In Clinic,Abuja,Hospital,0
Amy Patisserie,Cross River,Restaurant,0
"Nigerian Navy Specialist Hospital, Calabar",Cross River,Hospital,0
"Nigerian Navy Hospital, Lagos",Lagos,Hospital,0
KIladejo Hospital and Spelicalist Clinic,Lagos,Hospital,0
"Asman Ventures Limited, Lagos",Lagos,Hospital,0
Ademola Hospital and Maternity,Lagos,Hospital,0
Oba Ademola II Maternity Hospital Abeokuta,Ogun,Hospital,0
Ave Maria Hospital,Lagos,Hospital,0
Lekki Free Trade Zone,Lagos,Market,0
Calabar Port Complex,Cross River,Port,0
St. Patrick's College,Cross River,School,3
Bridge of No Return,Akwa Ibom,Monument,1
Ibibio Museum and State Park,Akwa Ibom,Park,1
Eternal Gems,Lagos,Shop,0
Ikot Ekpene Town Plaza,Akwa Ibom,Mall,1
"Maritime Academy of Nigeria, Oron",Akwa Ibom,School,100
Kam Investments,Lagos,Shop,0
Nothing Pass God Supermarket,Lagos,Shop,0
Fanice Creamy Inn,Lagos,Shop,0
Iya Ismaheel,Lagos,Shop,0
Mama Caroline,Lagos,Shop,0
Iya Dolapo,Lagos,Shop,0
Ise - Ewu,Lagos,Shop,0
Akwa Ibom State Secretariat,Akwa Ibom,Government Building,1
Linx Cakes,Lagos,Shop,0
Ariyike Catering,Lagos,Shop,0
Akwa Ibom State House of Assembly,Akwa Ibom,Government Building,1
Okafor Boutique,Lagos,Shop,0
God is Able Drinks,Lagos,Shop,0
Anyidex Cosmetics,Lagos,Shop,0
Ibom Hall,Akwa Ibom,Hall,1
State Banquet Hall,Akwa Ibom,Hall,1
Akwa Ibom State College of Education,Akwa Ibom,College,1
Faith Catering Services,Lagos,Shop,0
Fatmac Catering Services,Lagos,Shop,0
I.Y Catering Services,Lagos,Shop,0
Saheeto International Limited,Lagos,Shop,0
Glory Kitchen Catering Services,Lagos,Shop,0
Rings Emporium Limited,Lagos,Shop,0
Royagetty Chemist and Supermarket,Lagos,Shop,0
The Arena Market,Lagos,Shop,1
Blissfield Dental Clinic,Lagos,Hospital,0
Osagie Dental Clinic,Lagos,Hospital,0
Raphin Dental Clinic,Lagos,Hospital,0
Ave Dental Clinic,Lagos,Hospital,0
Centurion Dental Clinic,Lagos,Hospital,0
Kupa Medical Center Limited,Lagos,Hospital,0
Evans Medical Plc,Lagos,Pharmacy,0
Evans Pharmaceutical,Ogun,Pharmacy,0
"Corona School, Victoria Island",Lagos,School,0
"Corona School, Ikoyi",Lagos,School,0
Corona Nursery School,Lagos,School,0
"Corona School, Gbagada",Lagos,School,0
Orange Drugs Limited,Lagos,Factory,0
PZ Cussons Limited,Lagos,Factory,0
Bravol Investment,Lagos,Shop,0
Dr. Chuks Trado Medical Clinic,Lagos,Hospital,0
Ikot Ekpene Prisons,Akwa Ibom,Prison,1
Qua Iboe Church,Akwa Ibom,Place of worship,1
Biyi Trado-Medical Clinic,Lagos,Hospital,0
"Akwa Ibom State University, Obio Akpa Campus",Akwa Ibom,University,2
All Souls' Hospital,Lagos,Hospital,0
"Central Bank of Nigeria, Uyo",Akwa Ibom,Government Building,1
Tantalizers - Okota,Lagos,Restaurant,0
"Central Bank of Nigeria, Abeokuta",Ogun,Government Building,2
"Mr. Bigg's, Surulere",Lagos,Restaurant,0
"Central Bank of Nigeria, Enugu",Enugu,Government Building,256
Tantalizers - Abeokuta,Ogun,Restaurant,0
Mr. Bigg's - Abeokuta,Ogun,Restaurant,0
"Central Bank of Nigeria, Jos",Plateau,Government Building,0
Garden Chinese and Continental Restaurant,Plateau,Restaurant,0
Isioma Hospital,Lagos,Hospital,0
Site De Dome Arena,Akwa Ibom,Building,1
Lobel Hospital,Lagos,Hospital,0
Surulere General Hospital,Lagos,Hospital,0
The Hungryman Restaurant,Abuja,Restaurant,0
Mushin General Hospital,Lagos,Hospital,0
Massey Street Children Hospital,Lagos,Hospital,0
Isolo General Hospital,Lagos,Hospital,5
Ikorodu General Hospital,Lagos,Hospital,0
"Jevinik Restaurant, Wuse II",Abuja,Restaurant,0
Ijede Health Centre,Lagos,Hospital,0
Ifako Ijaiye General Hospital,Lagos,Hospital,0
Bidson Skin Clinic,Lagos,Hospital,0
Orile Agege General Hospital,Lagos,Hospital,1
"General Hospital, Akodo",Lagos,Hospital,0
Lagos State Health Service Commission,Lagos,Hospital,0
Health Service Commission,Lagos,Hospital,0
Epe General Hospital,Lagos,Hospital,0
Badagry General Hospital,Lagos,Hospital,0
Alimosho General Hospital,Lagos,Hospital,0
"Ajeromi General Hospital, Ajegunle",Lagos,Hospital,0
Taste and See Restaurant,Lagos,Restaurant,0
Araba's Homemade,Lagos,Shop,1
Hootas Bar and Grill,Lagos,Club,0
Salt Cafe and Grill,Abuja,Restaurant,1
Sky Lounge,Abuja,Lounge,0
Supreme Vision,Abuja,Hospital,0
Oohbee Hospital,Lagos,Hospital,0
Oppydan catering services,Lagos,Shop,0
Ibioju,Rivers,"Spas, Saunas and Wellness centre",298
Neth's Gym,Rivers,"Spas, Saunas and Wellness centre",234
Georgii's Bar,Rivers,Lounge,261
Choice Barber's shop,Lagos,Shop,0
Playhouse Park,Rivers,Park,324
Charlies Total Fitness Centre,Rivers,"Spas, Saunas and Wellness centre",127
Bodyboost Fitness and Health Club,Rivers,"Spas, Saunas and Wellness centre",234
Awoof Mart,Lagos,Shop,0
Country Style Chicken,Rivers,Restaurant,294
Ikeolu Book shop,Lagos,Shop,0
Cheers Bar,Rivers,Lounge,261
Kellys Sports Bar,Rivers,Lounge,219
Kellys Nite Klub,Rivers,Club,206
Peculiar stores,Lagos,Shop,0
Pepperoni Eatery,Rivers,Restaurant,0
New Jerusalem-City Baptist Church,Lagos,Shop,0
chris is a goat,Lagos,,0
Kelsey Harrison Hospital,Rivers,Hospital,197
Real Sumptuous Bakery,Lagos,Shop,0
SaveALife Mission Hospital,Rivers,Hospital,169
Tolbert Specialist Hospital,Abuja,Hospital,0
B and B Creativity,Lagos,Shop,0
Chivar Clinics and Urology Centre,Abuja,Hospital,0
Divine Good Morning Stores,Lagos,Shop,0
Hess Tee Pharmacy And Store,Lagos,Pharmacy,0
Gopro Restaurant,Abuja,Restaurant,0
Mama Tusweet Canteen,Lagos,Restaurant,0
Sweet Treat,Lagos,Restaurant,0
Rock Foundation Hospital,Lagos,Hospital,0
Adenike Fabeyibi Specialist Clinic And Maternity Home,Lagos,Hospital,0
Shefi Hospital,Lagos,Hospital,0
Tasts and See Calabar Restaurant,Lagos,Restaurant,0
2 Tees Food Basic,Lagos,Restaurant,0
Baytown Lounge,Abuja,Lounge,0
His Grace Restaurant,Lagos,Restaurant,0
Iya Chike Restaurant,Lagos,Restaurant,0
"Eye Foundation Hospital, Abuja",Abuja,Hospital,1
Ramis Catering,Lagos,Restaurant,0
Federal Polytechnic Offa,Kwara,University,0
Offa Central Mosque,Kwara,Place of worship,0
Maitama Amusement Park,Abuja,Park,0
Saba Ethiopian Restaurant,Abuja,Restaurant,1
Zavati Shawarma,Abuja,Restaurant,0
Zanzibar Grill and Bar,Abuja,Restaurant,0
Balogun Mosque,Kwara,Place of worship,0
Ketchup Bar,Abuja,Lounge,0
Zenith Medical Centre,Lagos,Hospital,0
Zenith Medical And Kidney Center,Abuja,Hospital,6
Usman Dam,Abuja,Waterfall,1
Afro Art Dexterity,Abuja,Art gallery,0
Mama Itene,Abuja,Restaurant,0
Excellent Fingers Catering and Services Restaurant,Abuja,Restaurant,0
Family Restaurant,Lagos,Restaurant,0
Hatlab Place,Abuja,Restaurant,0
"City Gate, Abuja",Abuja,Monument,0
Banana Republic,Abuja,Restaurant,0
Winnys Meals,Abuja,Restaurant,0
Eat.com,Abuja,Restaurant,0
Sueno Wellness Centre,Abuja,"Spas, Saunas and Wellness centre",0
Empire Nightlife,Abuja,Club,0
Standard Life Care Hospital,Lagos,Hospital,0
Tolarex Bar,Lagos,Lounge,0
Computer Village,Lagos,Market,0
Banex Plaza,Abuja,Shop,1
Kaduna Rugby Union Football Club,Abuja,Club,0
Aramix Unisex Boutique,Lagos,Shop,0
248 Bakery and Cafe,Abuja,Bakery,0
New Heritage Baptist Church,Lagos,Place of worship,0
Mushin Baptist Church,Lagos,Place of worship,0
"High Commission of Canada, Abuja",Abuja,Government Building,0
Ahmadiyya Muslim Hospital,Niger,Hospital,0
"Mountain of Fire and Miracles Ministries, Ifo",Ogun,Place of worship,0
Parklande Specialist Hospital,Lagos,Hospital,0
Avon Healthcare Limited,Lagos,Hospital,0
Baydot Ladies Wears,Lagos,Shop,0
Rosa Fast Food and Eatery,Lagos,Restaurant,0
N And J Cakes,Lagos,Restaurant,0
Ultimate Igbo Kitchen,Lagos,Restaurant,0
Chi Bread Depot,Lagos,Bakery,1
St. Emmanuel Hospital,Lagos,Hospital,0
First Eye Clinic,Lagos,Hospital,0
"Mr. Bigg's, Ikeja 1",Lagos,Restaurant,0
SOS Children's Village Owu-Ijebu,Ogun,Building,0
SOS Children's Village Gwagwalada,Lagos,Building,0
SOS Hermann Gmeiner Primary School,Lagos,School,0
SOS Children's Village Isolo,Lagos,Orphanage,0
SOS Children's Village Jos,Plateau,Building,0
445 Nigeria Airforce Base Hospital,Lagos,Hospital,0
AB 10 Specialist Hospital,Lagos,Hospital,0
Amanda hospital,Imo,Hospital,0
"Mountain of Fire and Miracle Ministries, Lekki",Lagos,Place of worship,1
Mrs Tolu Asalu Store,Lagos,Shop,0
Eat Well Food Canteen,Lagos,Restaurant,0
Queens Clinic Limited,Abuja,Hospital,0
Calens Dental Clinic Ltd,Abuja,Hospital,0
Zoe Medical Centre,Lagos,Hospital,0
Vickie's Cafe,Lagos,Restaurant,0
Sarah's Sharwama and Grills,Lagos,Restaurant,0
Acabado Cakes,Lagos,Restaurant,0
Duro Soleye Hospitals,Lagos,Hospital,0
Motayo Hospital Limited,Lagos,Hospital,0
Adefemi Hospital Ltd,Lagos,Hospital,0
"Celebrities Restaurant, Ikeja",Lagos,Restaurant,0
"Celebrities Restaurant, Enugu",Enugu,Restaurant,299
Queens Comprehensive Sec. School,Lagos,College,0
"Graceland College, Enugu",Enugu,School,113
Modern Ideal College,Enugu,School,144
Peaceland College of Education,Enugu,College,194
"Mr. Bigg's, Kaduna",Kaduna,Restaurant,0
Mayflower Hospital,Lagos,Hospital,0
Peve Dental Clinic,Lagos,Hospital,0
S and P Eatery,Lagos,Restaurant,0
S and P Pastries,Lagos,Restaurant,0
Pinnacle Kitchen,Lagos,Restaurant,0
F and G spicy grills services,Lagos,Restaurant,0
Frankie Style Collections,Lagos,Shop,0
Simchah Cakes,Lagos,Shop,0
Ofada Dabule Restaurant,Lagos,Shop,0
God's Own Restaurant,Lagos,Shop,0
Get Well Specialist Hospital and Maternity Centre,Lagos,Hospital,0
Mobonike Hospital,Lagos,Hospital,0
Molayo Medical Centre,Lagos,Hospital,0
Se Ko Dun Restaurant,Lagos,Restaurant,0
Portable Restaurant,Lagos,Restaurant,0
Union Diagnostics Centre,Lagos,Hospital,0
Union Diagnostic and Clinical Services,Lagos,Hospital,0
"Union Diagnostic and Clinical Services Plc, Ajegunle",Lagos,Hospital,0
"Union Diagnostics Centre, Ikeja",Lagos,Hospital,0
"Union Diagnostic and Clinical Services Plc, Ikotun",Lagos,,0
"Union Diagnostic and Clinical Services Ltd, Agege",Lagos,Hospital,0
Union Diagnostic And Clinical Services Plc,Lagos,Hospital,0
Raprad Medical Laboratories,Lagos,Hospital,0
"Tastee Fried Chicken, Ikeja",Lagos,Restaurant,0
"Union Diagnostics, Badagry",Lagos,Hospital,0
"Union Diagnostics, Port Harcourt",Rivers,Hospital,274
"Union Diagnostic And Clinical Services Plc, Jos",Plateau,Hospital,0
"Union Diagnostic and Clinical Services PLC, Kano 2",Kano,Hospital,0
"Union Diagnostics and Clinical Services PLC, Kano",Kano,Hospital,0
"Tasty Fried Chicken, Victoria Island",Lagos,Restaurant,0
"Tastee Fried Chicken, Ikoyi",Lagos,Restaurant,0
"Tastee Fried Chicken, Ogba",Lagos,Restaurant,0
"Tastee Fried Chicken, Surulere",Lagos,Restaurant,0
"Tastee Fried Chicken, Marina",Lagos,Restaurant,0
African Church Model College,Lagos,College,0
"Tastee Fried Chicken, Agege",Lagos,Restaurant,0
"Tastee Fried Chicken, Apapa",Lagos,Restaurant,0
"Tastee Fried Chicken, Lekki",Lagos,Restaurant,0
"Tastee Fried Chicken, Ikorodu",Lagos,Restaurant,0
"The TFC place, Festac",Lagos,Restaurant,0
"Tastee Fried Chicken, Lagos Island",Lagos,Restaurant,0
Global Viva Medical Diagonistic Laboratory,Lagos,Hospital,0
Fanimed Hospital,Lagos,Hospital,0
To Get Well Restaurant,Lagos,Restaurant,0
Edibles Fast Food,Lagos,Restaurant,0
Iya Yewande Canteen,Lagos,Restaurant,0
Get Well Therapeutic Limited,Lagos,Pharmacy,0
Get Well Medical Laboratory,Lagos,Hospital,0
God's Victory Medical Laboratory,Lagos,Hospital,0
Finlab Nigeria Limited,Lagos,Hospital,0
Central Public Health Laboratories,Lagos,Hospital,0
Alalade Memorial Hospital,Lagos,Hospital,0
Mount Zion Convalescent Home,Lagos,Hospital,0
Leylaw Dental Clinic,Lagos,Hospital,0
"Crunchies Fried Chicken, Abakaliki",Ebonyi,Restaurant,0
"Elias International School, Ile Epo",Lagos,College,0
"Elias International School, Alimosho",Lagos,College,0
Adu Medical Clinic,Lagos,Hospital,0
Fatu Provision Store,Lagos,Shop,0
Ganiyat Ventures,Lagos,Shop,0
H2M Store,Lagos,Shop,0
Oluwakemi Stores,Lagos,Shop,0
Qmed Diagnostic Centre,Lagos,Hospital,0
Emdee Shipping And Maritime College,Lagos,College,0
"MTN, Apapa Service Centre",Lagos,Building,0
MTN - Matori Service Centre,Lagos,Building,0
MTN - Yhello city,Lagos,Building,0
"MTN, Ikeja Service Centre",Lagos,Building,0
"MTN, Mma 2 Lite",Lagos,Building,0
Ikeja High School,Lagos,College,0
"MTN, Murphys Plaza lite",Lagos,Building,0
"MTN, Ikeja Connect",Lagos,Building,0
"MTN, Ajao Connect",Lagos,Building,0
