Places,Location,Category,Likes_oount
Prest Lunch and Dinner Cruise,Lagos,Resort,366
Swé Bar,Lagos,Lounge,229
Matsirga Waterfalls,Kaduna,Waterfall,0
Optimel Water Sports,Lagos,Beach,437
Road Runners nightclub,Lagos,Club,300
"Hardcore Entertainment Incorporated, Ikeja",Lagos,Play ground,210
The Trukadero place,Abuja,Zoo,293
Rue 80 Lounge and Bar,Lagos,Lounge,12
Cafe Neo,Lagos,Restaurant,221
Coconut Beach,Lagos,Beach,365
Peninsula Beach Resort,Lagos,Resort,302
Play Barn,Lagos,Play ground,143
Fun Turf,Lagos,Sport arena,143
Dreamworld Africana,Lagos,Park,277
Tinubu Square,Lagos,Monument,406
Broad Street,Lagos,Town,234
Lekki Central Mosque,Lagos,Place of worship,146
Festival Mall,Lagos,Mall,218
The City Mall,Lagos,Mall,88
Balogun Market,Lagos,Market,176
Adeniran Ogunsanya Shopping Mall,Lagos,Mall,118
Kwa falls,Cross River,Waterfall,0
Omu Resort,Lagos,Resort,234
National Christian Center,Abuja,Place of worship,347
Sungbo Eredo,Ogun,Shrine,0
Wuse Market,Abuja,Market,374
"Marcopolo Oriental Cuisine, Victoria Island",Lagos,Restaurant,139
Shehu Musa Yar'Adua Center,Abuja,Hall,130
Ikom Monoliths,Cross River,Monument,0
St. Nicholas Hospital,Lagos,Hospital,345
"Reddington Hospital, Island",Lagos,Hospital,306
The Eko Hospital,Lagos,Hospital,416
Gold Cross Hospital,Lagos,Hospital,501
Kelina Hospital,Abuja,Hospital,316
1004 Housing Estate,Lagos,Building,300
Oshodi Market,Lagos,Market,321
The Polo Park,Enugu,Mall,217
Akwa Ibom International Stadium,Akwa Ibom,Sport arena,3
Ibom Plaza,Akwa Ibom,Park,3
Ibom Tropicana Entertainment Centre,Akwa Ibom,Resort,3
Margaret Ekpo International Airport,Cross River,Airport,0
Mallam Aminu Kano International Airport,Kano,Airport,0
Ibom Specialist Hospital,Akwa Ibom,Hospital,261
First Consultant Hospital,Lagos,Hospital,403
"Rumors Night Club, Ikeja",Lagos,Club,1
"Rumors Night Club, Festac",Lagos,Club,0
Vanilla Restaurant and Lounge,Abuja,Restaurant,199
The Obudu Grill House,Abuja,Restaurant,289
Venivici Healthcare and Spa,Lagos,"Spas, Saunas and Wellness centre",0
Cova lounge,Lagos,Lounge,0
Yogurt Frenzy,Lagos,Restaurant,0
Wakkis Restaurant,Abuja,Restaurant,253
Flames Churrascaria Grill and Bar,Abuja,Restaurant,198
The Charcoal Grill Restaurant and Lounge,Abuja,Restaurant,225
"Nkoyo, Ceddi Plaza",Abuja,Restaurant,251
"Nkoyo, K-City Plaza",Abuja,Restaurant,276
Papillon Restaurant,Abuja,Restaurant,231
Luigi's Italian Restaurant,Abuja,Restaurant,229
The Club House Gym (Members Only),Abuja,Fitness centre,236
La Giara Restaurant,Lagos,Restaurant,0
The Crockpot,Lagos,Restaurant,0
Hard Rock Cafe Lagos,Lagos,Restaurant,0
"Grills In and Out, Abuja",Abuja,Restaurant,243
"Grills In and Out, Lagos",Lagos,Restaurant,0
Rodizzio,Lagos,Restaurant,0
Zenith Water Margin,Lagos,Restaurant,0
Browns Café,Lagos,Restaurant,0
Spice Bowl Restaurant,Lagos,Restaurant,0
Pool Terrace Bar,Lagos,Lounge,0
Smokey Bones Arena,Lagos,Lounge,0
The Office Roof-top Bar,Lagos,Lounge,0
Privé Lounge and Restaurant,Lagos,Lounge,0
Shaunz Bar,Lagos,Club,0
Mayfair Lounge,Cross River,Lounge,0
Port Harcourt Polo Club (Members Only),Rivers,Sport arena,372
Lagos Polo Club (Members Only),Lagos,Sport arena,0
Sofa Lounge,Abuja,Lounge,227
Koko Dome Restaurant and Nite Club,Oyo,Restaurant,0
Ojukwu Bunker,Abia,Museum,6
Cosmo Lounge,Rivers,Lounge,286
Soho 24 Sports club,Abuja,Park,204
Turf Arena,Abuja,Park,147
Campos Mini Stadium,Lagos,Sport arena,1048
Glass Hall Event Centre,Ondo,Hall,1
The Ventura Mall,Oyo,Mall,2
Angie's kitchen,Lagos,Restaurant,0
Gadgets N Beyond,Abuja,Shop,209
"SLOT, Ikeja",Lagos,Shop,5
Lagos University Teaching Hospital,Lagos,Hospital,319
Ibom eLibrary,Akwa Ibom,Library,3
Play Terrace Lounge and Bar (Members Only),Akwa Ibom,Lounge,2
Blu Cabana,Abuja,Club,251
Harrow Park Golf Club (Members Only),Abuja,Sport arena,265
Glover Court Suya,Lagos,Restaurant,0
Society for the Performing Arts of Nigeria,Lagos,Cultural centre,0
Monty buffet,Lagos,Restaurant,0
Bay Lounge,Lagos,Lounge,0
Sailor's Lounge,Lagos,Lounge,0
Miliki (Members Only),Lagos,Lounge,0
SS Lounge,Lagos,Lounge,0
Bar Enclave,Lagos,Lounge,0
Nimbus art gallery,Lagos,Art gallery,0
Clear Essence California Spa and Wellness Resort,Lagos,"Spas, Saunas and Wellness centre",0
Kelmasu bridal spa,Abuja,"Spas, Saunas and Wellness centre",268
"B-Natural Medspa, Lagos",Lagos,"Spas, Saunas and Wellness centre",0
"B-Natural Medspa, Abuja",Abuja,"Spas, Saunas and Wellness centre",333
Apples and Oranges,Lagos,"Spas, Saunas and Wellness centre",0
Quba dance company,Lagos,School,0
"Genesis Deluxe Cinemas, Lagos",Lagos,Cinema Hall,0
Rose and Velvet Spa,Lagos,"Spas, Saunas and Wellness centre",0
Awolowo's prison home,Lagos,Museum,0
Rapid Paintball Arena,Abuja,Play ground,290
Spa Lavender,Lagos,"Spas, Saunas and Wellness centre",0
BMS Spa and Gym,Lagos,"Spas, Saunas and Wellness centre",0
The Nail Bar,Abuja,"Spas, Saunas and Wellness centre",320
Six Sense Spa and Body Center,Abuja,"Spas, Saunas and Wellness centre",271
Mediterranean Beauty Hammam (Ladies Only),Abuja,"Spas, Saunas and Wellness centre",265
"Bodyline Wellness Center, Lagos",Lagos,"Spas, Saunas and Wellness centre",0
"Bodyline Wellness Center, Abuja",Abuja,Fitness centre,250
Bold and Beautiful Salon,Abuja,Salon,200
PET Body Solution and Spa,Abuja,"Spas, Saunas and Wellness centre",161
Ninads Luxury Spa,Abuja,"Spas, Saunas and Wellness centre",136
Didi Museum,Lagos,Museum,0
MKO Abiola Stadium,Ogun,Sport arena,0
Ahmadu Bello Stadium,Kaduna,Sport arena,0
"National Stadium, Lagos",Lagos,Sport arena,0
Onikan Stadium,Lagos,Sport arena,0
Lagos Lawn Tennis Club,Lagos,Sport arena,0
Ibadan Recreation Club,Oyo,Club,1
Lagos Country Club (Members Only),Lagos,Club,0
Ibadan Golf Club,Oyo,Sport arena,0
Island Club (Members Only),Lagos,Club,0
VGC Recreation Club (Members Only),Lagos,Club,0
Eko Hotel Art and Craft Market,Lagos,Market,0
Four Points Sunday Brunch,Lagos,Restaurant,0
Xcite Fun Park,Lagos,Park,0
Fifth Chukker Polo and Country club,Kaduna,Sport arena,0
Awhum waterfall,Enugu,Waterfall,198
XO Wine Store,Lagos,Shop,0
Cafè Gelato,Abuja,Restaurant,129
The Mouse Pad,Lagos,Building,0
Club Pravada,Lagos,Club,0
"GQ Lounge, Ibadan",Oyo,Lounge,0
Apollo's Lounge and Bar,Oyo,Lounge,0
Center For Contemporary Art,Lagos,Art gallery,0
Abuja Salsa Class,Abuja,School,291
Club Laurel,Oyo,Club,0
"Palms Shopping Mall, Ibadan",Oyo,Mall,0
Club E-Bevande,Oyo,Club,0
The Quarter Cafe,Abuja,Restaurant,201
Classic Rock Cafe Abuja,Abuja,Restaurant,207
Salamander Café,Abuja,Restaurant,138
Dunes Center,Abuja,Mall,235
Spice Platter,Abuja,Restaurant,206
Silverbird Entertainment Center,Abuja,Mall,679
Bunna Café,Abuja,Restaurant,132
Aroma House,Akwa Ibom,Restaurant,1
Kaduna Golf Club,Kaduna,Sport arena,0
Olusegun Obasanjo Presidential Library,Ogun,Library,0
"Palms Shopping Mall, Ilorin",Kwara,Mall,0
Vosan Wellness Resort,Enugu,"Spas, Saunas and Wellness centre",209
Okonni Wildlife Sanctuary,Edo,Game reserve,17
Biodun Omolayo Art Gallery,Lagos,Art gallery,0
Lovette's BITS Dance Company,Lagos,School,0
Paloo's Place,Lagos,Play ground,0
Picnic Boat NG,Lagos,Nature,0
Spring day Spa,Abuja,"Spas, Saunas and Wellness centre",136
Golfteq systems,Lagos,Sport arena,0
Isaac Boro garden park,Rivers,Park,566
Ngwo Pine Forest,Enugu,Nature,226
"Harvesters International Christian Centre, Mainland",Lagos,Place of worship,1
"Harvesters International Christian Centre, Island",Lagos,Place of worship,0
Osun-Osogbo Grove,Osun,Monument,0
Emotan Statue,Edo,Monument,1
The Royal palace of the Oba of Benin,Edo,Palace,0
Oban Hills,Cross River,Nature,0
Emel Hospital,Lagos,Hospital,404
Primus International Super Specialty Hospital,Abuja,Hospital,347
The Studio Abuja,Abuja,School,177
The Studio iLaura,Abuja,School,159
Pizzarama Takeaway,Abuja,Pizzeria,164
Barnes Hospital,Lagos,Hospital,256
Lily Hospitals,Delta,Hospital,171
Zankli Medical Centre,Abuja,Hospital,374
Kano city wall,Kano,Monument,0
Akanu Ibiam International Airport,Enugu,Airport,265
Kwara Stadium,Kwara,Sport arena,0
Sobi Hill,Kwara,Nature,0
"Eye Foundation Hospital, Ijebu Imushin",Ogun,Hospital,344
"Eye Foundation Hospital, Victoria Island",Lagos,Hospital,400
"Eye Foundation Hospital, Ikeja",Lagos,Hospital,211
Sip Lounge,Lagos,Lounge,0
Sacred Heart Hospital,Ogun,Hospital,241
Isalu Hospitals,Lagos,Hospital,197
Xovar Lounge,Lagos,Lounge,0
The Hourglass Gallery,Lagos,Art gallery,0
Proflex Fitness Center (Members Only),Lagos,"Spas, Saunas and Wellness centre",0
Team 5 Gym,Lagos,"Spas, Saunas and Wellness centre",1
Mandara Mountains,Borno,Nature,0
Lake Alau,Borno,Nature,0
Borno State Museum,Borno,Museum,0
"Reddington Hospital, Ikeja",Lagos,Hospital,224
The Ice Cream Factory,Lagos,Restaurant,0
Farm City,Lagos,Shop,2
Britannia Hospital Lekki,Lagos,Hospital,247
University of Maiduguri,Borno,University,0
Lake Tilla,Borno,Nature,0
The Oaklands,Enugu,Park,206
Rabeh's Fort,Borno,Monument,0
Shehu of Borno's Palace,Borno,Palace,0
Sanda Kyarimi Park,Borno,Park,0
National Gallery of Art,Abuja,Art gallery,232
American University of Nigeria,Adamawa,University,4
Zaccheus Onumba Dibiaezue Memorial Library,Lagos,Library,1
FuZion Fitness Centre,Lagos,"Spas, Saunas and Wellness centre",0
Strauss School of Music,Abuja,School,163
Daystar Christian Centre,Lagos,Place of worship,0
Havilah beauty and Spa,Abuja,"Spas, Saunas and Wellness centre",613
The Mane place,Abuja,"Spas, Saunas and Wellness centre",246
True U Spa,Abuja,"Spas, Saunas and Wellness centre",356
Bamboo House,Abuja,Lounge,276
Dunes Continental Restaurant,Abuja,Restaurant,244
Obudu Grill House,Abuja,Restaurant,134
Biobak Kitchen,Abuja,Restaurant,138
"Southern Fried Chicken, Abuja",Abuja,Restaurant,317
Unique Spa,Abuja,"Spas, Saunas and Wellness centre",140
"Cubana Lounge, Abuja",Abuja,Lounge,309
Blake's Resort,Abuja,Resort,288
The Traffic Bar and Restaurant,Abuja,Restaurant,209
Traffic Lounge,Abuja,Lounge,227
Omega Events Arena,Abuja,Hall,231
355 Steakhouse and Lounge,Abuja,Lounge,301
Fitness Central,Lagos,"Spas, Saunas and Wellness centre",0
355 Restaurant and Lounge,Lagos,Restaurant,0
La Fit Gym,Lagos,"Spas, Saunas and Wellness centre",0
Black Pearl,Lagos,Lounge,0
Irefin Palace,Oyo,Monument,0
Vedic Lifecare Hospital,Lagos,Hospital,268
Planet One,Lagos,Hotel,0
ArtCafe,Lagos,Restaurant,0
The Soul Lounge,Lagos,Lounge,0
Delightsome Inn,Cross River,Lounge,0
"Crunchies Fried Chicken, Calabar 2",Cross River,Restaurant,0
"Millennium Park, Calabar",Cross River,Park,0
Pinnacle Pub and Niteclub,Cross River,Club,0
"Cultural Centre Complex, Calabar",Cross River,Cultural centre,1034
Aroma Restaurant,Cross River,Restaurant,0
U. J. Esuene Stadium,Cross River,Sport arena,0
Club 15 and Dynamic Lounge,Ekiti,Lounge,1
TakeAway Bite and Eat,Ekiti,Restaurant,1
Tuscany Lounge and Restaurant,Plateau,Restaurant,0
"CommonWealth of Zion Assembly, Abuja",Abuja,Place of worship,246
Lugard's footbridge,Kaduna,Monument,0
Kaduna River,Kaduna,River,0
International School University of Lagos,Lagos,School,0
University of Lagos Library,Lagos,Library,1
"Mama Cass Restaurant, Ikeja",Lagos,Restaurant,0
Oriki Lagos,Lagos,"Spas, Saunas and Wellness centre",0
Oranmiyan Staff,Osun,Monument,0
Finger Licking Restaurant and Bar,Osun,Restaurant,0
Sam Mbakwe International Cargo Airport,Imo,Airport,0
Supreme Taste Fries and Restaurant,Anambra,Restaurant,0
Lounge 24,Anambra,Club,1
O2 Base Arena,Ondo,Lounge,1
EFYx Health Club and Spa,Ondo,"Spas, Saunas and Wellness centre",1
De Iceberg,Delta,Lounge,0
Time Off Fitness and Recreation Center,Delta,"Spas, Saunas and Wellness centre",0
Opera Xclusive Lounge,Delta,Lounge,0
